Generation,Diversity,Best_Distance
0,67.1827237438742,47.31942663349075
1,56.803077293907506,41.51814857999287
2,50.38608999153595,40.582535729320675
3,49.83332588412461,38.94117220593289
4,46.081560575593805,38.78044615203107
5,42.444107291857705,38.78044615203107
6,41.91961834765186,38.78044615203107
7,36.50277043118421,38.78044615203107
8,33.18859218671721,38.78044615203107
9,33.569573644491214,38.78044615203107
10,23.251769711735783,38.78044615203107
11,31.105940562832444,38.78044615203107
12,25.342082873910353,38.78044615203107
13,29.291757325344175,38.78044615203107
14,26.155703891058455,38.78044615203107
15,25.288238212293454,38.78044615203107
16,25.64135018606107,38.78044615203107
17,22.034260844347227,38.78044615203107
18,25.58652724768655,38.78044615203107
19,24.129476478898983,38.78044615203107
20,28.05416610824846,38.78044615203107
21,29.26750269724115,38.78044615203107
22,28.168274236969165,38.78044615203107
23,29.32516903426215,38.78044615203107
24,26.87601202538124,38.78044615203107
25,26.147452386342447,38.78044615203107
26,28.956915092846202,38.78044615203107
27,27.10142399007888,38.78044615203107
28,27.33186817300168,38.78044615203107
29,30.556737210199454,38.78044615203107
30,31.004726534606558,38.78044615203107
31,30.827064298495557,38.78044615203107
32,32.21358558533295,38.78044615203107
33,32.77197830888329,38.78044615203107
34,30.311194070955924,38.78044615203107
35,31.25989168719871,38.78044615203107
36,30.95324787897402,38.78044615203107
37,29.40244025225207,38.78044615203107
38,29.988755679685664,38.78044615203107
39,27.90621514235076,38.78044615203107
40,28.514683439751245,38.78044615203107
41,30.599151983338793,38.78044615203107
42,28.507052333696794,38.78044615203107
43,25.60840423667647,38.78044615203107
44,19.692783468773463,38.78044615203107
45,22.57619616912215,38.78044615203107
46,17.00327622589142,38.78044615203107
47,16.6474216668148,38.78044615203107
48,17.60388028100732,38.78044615203107
49,22.072593005650585,38.78044615203107
50,21.581904873825003,38.78044615203107
51,18.892740465703532,38.78044615203107
52,18.69311452839756,38.78044615203107
53,13.493087396287432,38.78044615203107
54,15.119148584888599,38.78044615203107
55,10.927989316933555,38.78044615203107
56,13.947982996362573,38.78044615203107
57,16.10986995958266,38.78044615203107
58,14.147930895291667,38.78044615203107
59,15.374770738737505,38.78044615203107
60,12.221596611242383,38.78044615203107
61,12.939620933142718,38.78044615203107
62,10.76631745935514,38.78044615203107
63,10.246682231659369,38.78044615203107
64,10.92268646924419,38.78044615203107
65,9.20343567988888,38.78044615203107
66,6.808558535508543,38.78044615203107
67,10.059563373623087,38.78044615203107
68,14.65749990458134,38.78044615203107
69,9.959612600620034,38.78044615203107
70,15.202716406860498,38.78044615203107
71,9.13929886959995,38.78044615203107
72,10.817178787034468,38.78044615203107
73,12.35367032095345,38.78044615203107
74,16.243007640714392,38.78044615203107
75,9.422801567644493,38.78044615203107
76,13.582123199465224,38.78044615203107
77,16.43787287241075,38.78044615203107
78,11.11001404886604,38.78044615203107
79,11.443909428533617,38.78044615203107
80,11.779504848744875,38.78044615203107
81,13.025301892883585,38.78044615203107
82,11.555932936444256,38.78044615203107
83,8.633334721360916,38.78044615203107
84,11.060989526516687,38.78044615203107
85,11.983045960356868,38.78044615203107
86,9.440772619606525,38.78044615203107
87,8.491831102117027,38.78044615203107
88,3.4835585800796043,38.78044615203107
89,3.483558580079604,38.78044615203107
90,6.5022485235296354,38.78044615203107
91,5.268573828330761,38.78044615203107
92,7.602073917982856,38.78044615203107
93,5.540696009400098,38.78044615203107
94,10.275529865948196,38.78044615203107
95,10.083887915823018,38.78044615203107
96,9.832857330865997,38.78044615203107
97,8.351413729062756,38.78044615203107
98,8.531483563158936,38.78044615203107
99,11.300396787764704,38.78044615203107
